名称,详情页链接,评分,评论数,信息,图片链接,introduction,opening_hours
徐州乐园度假区,https://you.ctrip.com/sight/xuzhou230/20355.html,4.6,(1614),江苏省徐州市云龙湖风景区玉带大道9号,https://dimg04.c-ctrip.com/images/0103a1200095d4zm69AA8_C_220_140.jpg,徐州乐园度假区位于云龙湖风景区内玉带河西侧，由“加勒比水世界、糖果世界、欢乐世界”3个主题乐园和1个度假酒店及相关附属商业街区构成，集旅游、住宿、餐饮、商业于一体。园内设有不同的主题区域，游客可以体验瞬间在高空中上下弹射的惊险刺激之旅，欣赏还原楚汉文化的全动感影片。也可以参与惊险刺激的水上项目，在现实与远古的氛围中感受到大海般的宽广神秘，在极限动感与静逸休闲中尽享夏日激情水狂欢。,06/03-06/20 10:00-18:00开放;06/21-08/31 09:00-22:00开放，夜场15:00后入园。6.3-6.22无夜场
徐州九顶山野生动物园,https://you.ctrip.com/sight/suining3082/133839226.html,4.3,(791),徐州市睢宁县岚山镇观岚路88-1号,https://dimg04.c-ctrip.com/images/0103312000a3416jq757F_C_220_140.jpg,徐州九顶山野生动物园位于淮海经济区中心城市--徐州。景区地理位置优越，距徐明高速双沟东出口仅8.6公里，距观音机场30分钟车程。 占地3400亩，计划展出世界各地濒危珍稀野生动物300种类，近两万头（只）。作为淮海经济区内重要的动物主题文旅项目，徐州九顶山野生动物园依托丰富的山水资源规划建设，打造出集野生动物观赏、国际马戏演艺、亲子游乐互动、主题酒店体验、休闲观光度假、科普研学教育为一体的沉浸式综合度假区。园区分为三大主题区：车行区、步行区和船行区。车行区以大规模野生动物放养和非洲主题树屋为特色，游客不仅可以自驾与动物零距离互动，还能留宿与长颈鹿成为邻居。步行区以动物展馆为重点，八大区域：亲子乐园、欢乐世界、奇幻丛林、山谷奇境、国宝家园、树梢王国、非洲印象和精灵王国。在这里不仅有东北虎、亚洲象、长颈鹿、金丝猴和斑马等珍稀动物，还有国际大马戏等精彩剧场演出。船行区以船越侏罗纪探秘为亮点，穿行于雨林觅踪、密西西秘林、列岛奇缘和奇洞掠影，沿途观看大羚羊、美洲红鹮、丹顶鹤、火烈鸟等动物。,01/01-12/31 09:00-17:00开放
户部山,https://you.ctrip.com/sight/xuzhou230/116633.html,4.6,(169),江苏省徐州市云龙区彭城街道崔家巷2号,https://dimg04.c-ctrip.com/images/100r1f000001goolw2E33_C_220_140.jpg,户部山位于徐州古城之南又称南山。公元前206年，西楚霸王项羽定都彭城，曾在山顶建戏马台，而成为徐州的第一胜迹。---千古繁华地，徐州不夜城  历史上曾有“穷北关，富南关，有钱都住户部山”的俗语。,全年 09:00-17:00开放
戏马台,https://you.ctrip.com/sight/xuzhou230/17388.html,4.6,(554),江苏省徐州市云龙区户部山项王路1号,https://dimg04.c-ctrip.com/images/0104l120009hef308CD5A_C_220_140.jpg,戏马台是徐州现存早的古迹之一。公元前206年，盖世英雄项羽灭秦后，自立为西楚霸王，定都彭城，于城南里许的南山上，构筑崇台以观戏马，故名戏马台。戏马台依山岗地形，逐步上递，错落有致。历代在台上营建了不少建筑物，诸如台头寺、三义庙、名宦祠、聚硅书院、耸翠山房、碑亭记等。戏马台北侧有曲廊、追胜轩、集萃亭和系马桩、鸟骓槽等景点。曲廊内嵌有历代文人雅士吟咏戏马台的诗词石刻50余通。戏马堂是主殿，堂周环以回廊，24根丹柱绕堂排立，四壁为雕花窗棂。堂中屏风为“秋风戏马”图；反映当年项羽在虞姬陪侍下，观看士卒驰马操练的场景。东配殿的壁画，由144块大小不等的正方形和长方形砖坯雕刻烧制而成，长9米，高2米。项庄舞剑画面，描述了当年鸿门宴的紧张气氛。西配殿为一大型壁画，勾勒了兵败垓下后霸王诀别爱姬的离愁场景。由于戏马台地势较高，登台四眺，古城尽入眼帘，所以也是徐州市区观景的好地方。,全年 09:00-17:00开放
督公山漂流,https://you.ctrip.com/sight/xuzhou230/1411446.html,4.7,(192),徐州市贾汪区东约5公里督公湖风景区内,https://dimg04.c-ctrip.com/images/0105p12000f6pxobgA064_C_220_140.jpg,督公山漂流位于江苏省徐州市贾汪区督公湖风景区内，依托风景秀丽的督公湖及督公山山林河道等资源，经国内河道专家设计修建而成。漂流全长4公里，A段河道从督公山上腰树林中盘旋而下，落差29米，曲折回环，惊险剌激，尖叫不断；B段河道穿越于奇石遍布的天然河谷中，险滩处跌宕起伏，多个水仗区让您尽情嬉水，享受欢乐激情；C段河道漂流船游弋于丛林绿树和平湖中，满目青翠，环境优雅、带给您舒缓惬意的休闲体验。督公山漂流水源充沛，配套漂流船800余条，保障天天漂！漂流上下站服务中心各项服务设施齐全。督公山漂流与督公湖、游乐园、大洞山、潘安湖等组成激情漂流、旅游观光、休闲度假于一体的佳旅游目的地。督公湖景区“三滑一漂”是我区重要的旅游项目，自部分项目运营以来，吸引了众多游客来贾游玩。其中，漂流项目是我区2014年重点旅游项目之一，漂流河道总长4公里，落差70余米，被称为“高山第一漂”，也是淮海经济区第一家漂流项目。徐州市贾汪区督公湖漂流是日前淮海经济区第一个漂流地，揉和多种漂流的特点，让你全方位体验各种漂流的刺激和欢乐，督公湖漂流具有惊、险、奇三大特点：惊“由于落差大，你乘坐的皮划艇高速滑行犹如浪尖上的过山车，飞旋在波峰波谷之间，尖叫之声伴你一路，为寂静的山野带来无限生机。险：一路漂下险象环生，跌宕起伏，连绵不断，环环相扣，动人心魄。奇：由于河道位于山谷之中，漂流水源来自督公湖水与山泉汇集而成，水质清冽；河岩奇石怪岩星罗棋布，千姿百态，自然天成，浑然一体。,05/31-08/31 13:00-15:00开放
督公湖风景区,https://you.ctrip.com/sight/xuzhou230/1830385.html,4.1,(17),徐州市贾汪区贾汴路,https://dimg04.c-ctrip.com/images/10030r000000heh907733_C_220_140.jpg,督公湖在国家4A级督公湖风景区，这里景色迷人，春天桃花盛开，夏天碧波荡漾，秋天气爽迷人，冬天恬谧安静，是休闲度假的好去处。该湖初建在1958年，原是柴沃水库，在2005年全面整治，增加库容，成为了山区水源示范工程,全年 全天开放
云龙山,https://you.ctrip.com/sight/xuzhou230/17384.html,4.7,(400),江苏省徐州市泉山区湖东路,https://dimg04.c-ctrip.com/images/0104h12000f6qvfkl3815_C_220_140.jpg,云龙山山形蜿蜒如龙，因山上常有云雾缭绕而得名。云龙山虽然海拔只有142米，但文物古迹众多，历来是苏北的名胜。宋苏东坡在徐为太守时，常登山览胜，醉卧山石。他写并书《放鹤亭记》碑文现存山中。从北魏至近代，山上留有北魏时代的大石佛，唐宋摩崖石刻，宋代的放鹤亭、招鹤亭、饮鹤泉、张山人旧居；明代的兴化禅寺、清代的大士岩、山西会馆、船厅、御碑亭、碑廊等历史文物古迹。现在又修复和新建了幽邃轩、洞天小庐、跨云阁、云龙书院、杏花村、观景台、同心台等一大批历史景点。,全年 全天开放
宝莲寺,https://you.ctrip.com/sight/xuzhou230/136003800.html,4.9,(18),金山桥经济开发区宝莲寺路5号,https://dimg04.c-ctrip.com/images/01A1412000aa80lry244F_C_220_140.jpg,宝莲寺坐落在江苏徐州的云龙山上，是一座充满历史和文化气息的佛教寺庙。寺庙周围环境幽静，适合游客在此放松身心。建筑风格古朴，殿堂内供奉的佛像和精美的雕刻艺术吸引了众多信徒和游客。大雄宝殿内的壁画和雕塑展示了丰富的历史文化，值得细细品味。从寺庙的高处，游客可以欣赏到徐州市区和周边自然景观的全景，尤其在清晨或傍晚，景色格外动人。寺庙附近的步道为徒步旅行者提供了探索的机会。参观时保持安静，尊重当地的宗教习俗，是游客应注意的礼仪。宝莲寺不仅是一个宗教圣地，也是一个让人放松和欣赏自然美景的理想场所，非常适合家庭游客和文化爱好者前来体验。,全年 07:00-17:00开放
窑湾古镇,https://you.ctrip.com/sight/xinyi1064/142546.html,4.3,(961),江苏省徐州市新沂市窑湾镇窑炮线与合窑线交汇处,https://dimg04.c-ctrip.com/images/100t1f000001gqd09BE60_C_220_140.jpg,窑湾古镇国家4A级旅游景区，位于新沂市西南边缘，京杭大运河及骆马湖交汇处，与宿迁、睢宁、邳州三市县相连，是一座具有千年历史、闻名全国的水乡古镇。素有“东望于海，西顾彭城，南瞰淮泗，北瞻泰岱”之描述和“黄金水道金三角”、“苏北水域胜江南”之美誉及“小上海”之称。窑湾集古镇景观、水泊景观、名胜古迹、神话仙境于一体，具有很高的观赏、游览和历史研究价值。千年古镇窑湾历史文化悠久而灿烂。据典籍记载，这里，东周时属钟吾国辖地。秦汉时，作为军需品烧窑处。唐时，位于邳州、海州交界处，因周边窑多，故称窑湾。千年运河百道湾，黄金分割在窑湾；千年古槐，见证了古镇窑湾的兴衰；后院酱缸，雕琢着岁月久远的痕迹；老式建筑，散发出浓厚的文化气息。她像苏南的周庄有湖有水，水网相连；她又像山西的平遥，有着古老的街巷，文化相袭数千年。窑湾古镇人文历史景观厚重。古镇始建于唐朝初期，随着明清漕运和盐业的兴盛，昔日店铺栉比，商贾云集，街上行人如织，水上舟楫连绵。古镇中，城门、楼、店、院、宫、寺、庙、殿，自宋至清，代有营建。古老的街巷、宅院、会馆、作坊、商行、货栈、典当、码头等古镇昔日风貌仍基本犹存。,全年 09:00-21:30开放
狮子山楚王陵,https://you.ctrip.com/sight/xuzhou230/17378.html,4.5,(629),江苏省徐州市云龙区兵马俑路1号汉文化风景区,https://dimg04.c-ctrip.com/images/0102212000fjan8caC2BE_C_220_140.jpg,狮子山楚王陵位于徐州市区以东4公里处，是汉文化景区内精华的景点。海拔54.3米的狮子山几乎被掏空，陵墓的宏伟气势可见一斑，而种种蛛丝马迹又显示出该墓尚未完工，墓主人的身份有点神秘，有可能是西汉第三代楚王刘戊（尚有争议），参与“七国之乱”兵败后，为了避免牵连家族被迫自尽，匆匆下葬。如果你是汉文化迷或“盗墓”迷，不妨来此一探究竟。从汉文化景区的南门进去，便是狮子山楚王陵，陵前立着楚王骑着战马的雕像。陵墓南北走向，进入墓中先看到的是位于南部的外墓道，长27.6米，比起后面的墓道稍微开阔一些，沿着台阶不停向下，到两侧墙壁陡然变窄形成“一线天”的地方，就是中墓道了。中墓道长20.3米，东侧有一座侍奉楚王饮食的近臣陪葬墓。继续向北，是内墓道，长19.3米，上方天井通向山顶，当年工匠就是从天井挖进来修造楚王陵的。内墓道两侧共有3间耳室，东边的耳室是庖厨间，有两扇门，是所有墓室中大的一间，可以看到里面放置着古代厨具仿制品；西边靠南的耳室是贮藏礼器和兵器的御府库，出土过精美的金带扣；西边靠北的耳室是放沐浴器具的御府库。再往前，能看见主墓门，为了防止盗墓，当年用16块塞石封住，之前的三间耳室虽然幸免，可是主墓门后的其余墓室还是被盗了，据推测是王莽篡位时（公元8年左右）的一场大规模官盗。主墓门后是通往主墓室的甬道，长33.8米，两侧共有6间侧室，分别是钱库，放日常用具的御府库，放楚王国官印、金器的御府印库，嫔妃的陪葬墓室等。甬道尽头便是前堂，即主墓室，东侧原先摆放十分罕见的镶玉棺椁，挖掘楚王陵时主墓室出土过金缕玉衣，用4000多片上好的和田玉片制成，可惜金丝已被盗墓贼抽走。当然现在在墓室里看到的棺椁、金缕玉衣都是仿制品。后到达北端的后室，一定要注意一下这里粗糙的开凿痕迹，是陵墓还没完工的有力证明。后室中央立着根据楚王遗骨恢复出来的楚王雕像，两侧放置在此出土的编钟和编磬的仿制品，据推测这里可能是乐舞厅。游完狮子山楚王陵后，你还可以去看看汉文化景区内的汉兵马俑博物馆、水下兵马俑博物馆、汉画长廊，和楚王陵合为“两汉三绝”。因为狮子山楚王陵里的文物都是仿制品，觉得不过瘾，可以去徐州博物馆，不少墓中真迹在那能看到。,4/1-10/31 08:30-17:00开放;11/1-3/31 08:30-16:30开放
徐州乐园加勒比水世界,https://you.ctrip.com/sight/xuzhou230/116582.html,4.5,(1878),徐州市泉山区云龙湖风景区玉带大道9号,https://dimg04.c-ctrip.com/images/0100n120008thsoihE0DD_C_220_140.jpg,徐州乐园加勒比水世界融入神秘的加勒比主题，汇聚知名水上游乐设施，由加勒比海湾区、动感水世界区、温泉SPA区和综合休闲区四大戏水区域组成，是夏季玩水圣地。水世界中有游乐设施十余个，如翻江倒海的加勒比旋风滑梯、高达20米令人心跳不止 的“巴博萨风暴”滑道、体验高速离心旋转的鲸鱼油灯塔滑梯、浪潮汹涌的加勒比海浪池、穿越奇幻与未知的漂流河、享受梦幻惬意的避风湾SPA区和温泉区等，无不让游客在现实与远古亦真亦幻的交织中领略大海般的宽广神秘，感受视、听、触、味全方位立体震撼，在极限动感与静逸休闲中尽享夏日水上狂欢。,06/03-06/20 10:00-18:00开放;06/21-08/31 09:00-22:00开放;05/31-06/02 09:00-19:00开放，夜场票入园时间为15点后。6.3-6.20无夜场。
